链接,名称,摘要
https://baike.baidu.com/item/%E7%BD%91%E7%BB%9C%E7%88%AC%E8%99%AB/5162711?fromtitle=%E8%9C%98%E8%9B%9B&fromid=8135707,网络爬虫,网络爬虫（又被称为网页蜘蛛，网络机器人，在FOAF社区中间，更经常的称为网页追逐者），是一种按照一定的规则，自动地抓取万维网信息的程序或者脚本。另外一些不常使用的名字还有蚂蚁、自动索引、模拟程序或者蠕虫。
https://baike.baidu.com/item/%E4%B8%8B%E8%BD%BD%E8%80%85,下载者,下载者（Downloader）是一类计算机木马程序，按照国际上的病毒命名惯例为“Trojan-Downloader”一类，这类木马程序的主要内容为：指引中毒用户的计算机到黑客指定的URL地址去下载更多的病毒文件或者木马后门文件并运行，使得黑客获得更大操作权限，为黑客后门技术奠定基础。通俗的说，就是自动下载病毒的程序。
https://baike.baidu.com/item/%E9%94%9A%E7%82%B9,锚点,是网页制作中超级链接的一种，又叫命名锚记。命名锚记像一个迅速定位器一样是一种页面内的超级链接，运用相当普遍。
https://baike.baidu.com/item/%E6%8D%B7%E5%85%8B,捷克,"捷克共和国（捷克语：Česká republika），简称“捷克”，国土面积78866平方公里，与德国，奥地利，波兰，斯洛伐克四国接壤，是位于中欧的一个内陆国家。
[1] 
"
https://baike.baidu.com/item/%E5%8F%A4%E5%A0%A1,古堡,古堡，作为欧洲历史的一个符号，和教堂差不多一样的坚固与古老，沉寂在现代喧嚣之中。也许，它没有教堂那样的华丽，却比教堂更神秘。总会有一些异乎寻常的故事，比方战争、复仇、凶杀、恐怖、浪漫或绝望的爱情绝唱，以城堡为背景。
https://baike.baidu.com/item/%E6%8D%B7%E5%85%8B%E5%85%8B%E9%B2%81%E5%A7%86%E6%B4%9B%E5%A4%AB,克鲁姆洛夫,克鲁姆洛夫（Cesky Krumlov）是南波西米亚的迷人小镇，也是世界上最美的几座城市之一。该城市于1992年被联合国教科文组织列为世界文化遗产之一。
https://baike.baidu.com/item/%E5%B8%83%E5%B0%94%E8%AF%BA,布尔诺,布尔诺是捷克南摩拉维亚省首府，也是捷克的第二大城市，是最重要的工业城和铁路枢纽。位于捷克－摩拉维亚高地东麓，斯夫拉特卡河和斯维塔瓦河汇合处。人口38.57万。是捷克仅次于布拉格的工业中心。机械工业发达，定期举行布尔诺国际机械工业博览会。重要的交通枢纽，数条铁路和公路干线在此交会。市内建有马萨里克大学、石油工业学院、科学研究机构和博物馆等。作为摩拉维亚省首府，布尔诺拥有许多珍贵文化遗迹，在山丘城堡、教堂和博物馆中都可见证风华历史。生物学家孟德尔名留青史的豌豆遗传实验就是在布尔诺进行的。
https://baike.baidu.com/item/%E6%B5%B7%E5%BE%B7%E5%A0%A1%E5%9F%8E%E5%A0%A1,海德堡城堡,海德堡城堡坐落于国王宝座山顶上，名胜古迹非常多，历史上经过几次扩建，形成歌特式、巴洛克式及文艺复兴三种风格的混合体，德国文艺复兴时期的代表作。古堡的正门雕有披着盔甲的武士队，中央庭园有喷泉以及四根花岗岩柱，四周则为音乐厅、玻璃厅等建筑物。古城现在多数的房间是开放给游客参观，保存完好的一些大厅，目前仍可供宴会以及艺术表演之用。站在城廓上远望，满眼尽是无边无垠的葡萄园，美不胜收。堡中能储存220000公升葡萄酒的“大酒桶”以及大酒窖，是海德堡城内最吸引观光客的原因。
https://baike.baidu.com/item/%E5%88%A9%E8%B4%9D%E9%9B%B7%E8%8C%A8%E5%B7%9E,利贝雷茨州,"利贝雷茨州（捷克语:Libereck&yacute; kraj），是捷克北部的一个州，历史上属于波希米亚。面积3,163 平方公里，人口429,491（2006年）。"
https://baike.baidu.com/item/%E5%B8%95%E7%BB%B4%E5%B0%94%C2%B7%E5%86%85%E5%BE%B7%E7%BB%B4%E5%BE%B7,帕维尔·内德维德,"帕维尔·内德维德（捷克语：Pavel Nedvěd），1972年8月30日出生于捷克卡罗维发利州海布市，前捷克足球运动员，司职前腰，亦能胜任中前卫和边前卫，
[1] 
现任意甲尤文图斯足球俱乐部董事会副主席。
[2] 
"
